Channel Title,Channel Username,ID,Message,Date,Media Path
Sheger online-store,@Shageronlinestore,6211,"💥INIMA JAPAN COFFEE GRINDER

💯ከፍተኛ ጥራት 

⚡️150w
⚡️ቋቱ እና ምላጩ የብረት
⚡️made in japan

         ዋጋ፦ 1,400 ብር✅
     

♦️ውስን ፍሬ ነው ያለው

🏢 አድራሻ  ቁ.1👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214



     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-01-17 06:59:57+00:00,
Sheger online-store,@Shageronlinestore,6210,"💥INIMA JAPAN COFFEE GRINDER

💯ከፍተኛ ጥራት 

⚡️150w
⚡️ቋቱ እና ምላጩ የብረት
⚡️made in japan

         ዋጋ፦ 1,400 ብር✅
     

♦️ውስን ፍሬ ነው ያለው

🏢 አድራሻ  ቁ.1👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214



     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-01-17 06:59:57+00:00,photos\@Shageronlinestore_6210.jpg
Sheger online-store,@Shageronlinestore,6209,,2025-01-16 13:41:31+00:00,photos\@Shageronlinestore_6209.jpg
Sheger online-store,@Shageronlinestore,6208,,2025-01-16 13:41:31+00:00,photos\@Shageronlinestore_6208.jpg
Sheger online-store,@Shageronlinestore,6207,"💥stainless still flower shape cake mold

⚡️non stick  

        ዋጋ:-700ብር✅


ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore
 ",2025-01-16 13:41:31+00:00,photos\@Shageronlinestore_6207.jpg
Sheger online-store,@Shageronlinestore,6206,"💥Delux Foldable multifunctional Draying RACK

👉 ለኮንዶሚኒየም እና ጠበብ ያለ ቦታ ላላቸው ተመራጭ
👉 የጫማ ማስቀመጫም አለው
👉 የቱርክ ምርት ጠንካራ
👉 ተጣጥፎ የሚቀመጥ ቦታ ቆጣቢ


          ዋጋ፦  5,200 ብር✅

ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore
 ",2025-01-16 10:07:54+00:00,photos\@Shageronlinestore_6206.jpg
Sheger online-store,@Shageronlinestore,6205,"#አልቆል_ለተባላችሁ_በድጋሚ_አስገብተናል 
💥Automatic rotating nozzle

👉360° rotating
👉Avariety of patterns,
👉wide range of irrgation
👉 to save time and efficient

       ዋጋ:-600 Birr

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore
 ",2025-01-16 09:20:43+00:00,photos\@Shageronlinestore_6205.jpg
Sheger online-store,@Shageronlinestore,6204,"💥Bulb Rotating security camera 360°🎥

👉የካሜራውን lens በ ስልክዎ ወደ ፈለጉት አቅጣጫ 360 degree እያዟዟሩ ማየት ሚያስችል

👉በማታ ይቀርፃል። በምሽት አጥርቶ እንዲያሳይ ተደርጎ የተሰራ (night smart vision camera)
👉 የቤትዎትን ውሎ መከታተል የሚችሉበት 360 degree security cameras 
👉እንቅሰቃሴ በሚኖርበት ጊዜ ካሜራው እንቅስቃሴ ወደአየበት አቅጣጫ ተከታትሎ ራሱ የሚዟዟር
👉ሚሞሪ ካርድ የሚቀበል
👉ድምፅ እና ቪዲዮ ይቀዳል

           ዋጋ:-2500 ብር

♦️ውስን ፍሬ ነው ያለው

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-01-16 07:21:13+00:00,
Sheger online-store,@Shageronlinestore,6203,"💥Bulb Rotating security camera 360°🎥

👉የካሜራውን lens በ ስልክዎ ወደ ፈለጉት አቅጣጫ 360 degree እያዟዟሩ ማየት ሚያስችል

👉በማታ ይቀርፃል። በምሽት አጥርቶ እንዲያሳይ ተደርጎ የተሰራ (night smart vision camera)
👉 የቤትዎትን ውሎ መከታተል የሚችሉበት 360 degree security cameras 
👉እንቅሰቃሴ በሚኖርበት ጊዜ ካሜራው እንቅስቃሴ ወደአየበት አቅጣጫ ተከታትሎ ራሱ የሚዟዟር
👉ሚሞሪ ካርድ የሚቀበል
👉ድምፅ እና ቪዲዮ ይቀዳል

           ዋጋ:-2500 ብር

♦️ውስን ፍሬ ነው ያለው

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-01-16 07:21:13+00:00,photos\@Shageronlinestore_6203.jpg
Sheger online-store,@Shageronlinestore,6202,,2025-01-15 16:11:58+00:00,photos\@Shageronlinestore_6202.jpg
Sheger online-store,@Shageronlinestore,6201,,2025-01-15 16:11:58+00:00,photos\@Shageronlinestore_6201.jpg
Sheger online-store,@Shageronlinestore,6200,,2025-01-15 16:11:58+00:00,photos\@Shageronlinestore_6200.jpg
Sheger online-store,@Shageronlinestore,6199,,2025-01-15 16:11:57+00:00,photos\@Shageronlinestore_6199.jpg
Sheger online-store,@Shageronlinestore,6198,,2025-01-15 16:11:57+00:00,photos\@Shageronlinestore_6198.jpg
Sheger online-store,@Shageronlinestore,6197,,2025-01-15 16:11:57+00:00,photos\@Shageronlinestore_6197.jpg
Sheger online-store,@Shageronlinestore,6196,"📣 የልብስ እና የጫማ  ማጠቢያ ማሽን 👟👔

CAPACITY 👉7️⃣.5️⃣KG

✔️አነስተኛ የልብስ እና የጫማ  ማጠቢያ ማሽን  
✔️ለቲሸርት፣ ለጂንስ ፣ለሹራብ፣ለልጆች ዩኒፎርም፣ ለጫማ ወዘተ


✔️በተጨማሪም ጫማ ማጠቢያ ቡሩሽ ያለው 
✔️የራሱ የብረት መጭመቂያ ቅርጫት ያለው
✔️ ከቧንቧ ውሃ ቀጥታ መውሰድ የሚችል
☄️ አነስተኛ የኤሌክትሪክ ፍጆታ 240watt
✔️ከቦታ ቦታ በቀላሉ ተንቀሳቃሽ፡ በጠባብ ቦታ መቀመጥ የሚችልና የውሃ ማስወገጃ ቱቦ ያለው
✔️ውስጡ በአንድ ግዜ እስከ 50ሊትር ውሃ ስለሚይዝ ልብስ በደንብ አፅድቶ ያጥባል

        ዋጋ፦ ✅ 14,800 ብር

ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-01-15 16:11:57+00:00,photos\@Shageronlinestore_6196.jpg
Sheger online-store,@Shageronlinestore,6195,"📣 የልብስ እና የጫማ  ማጠቢያ ማሽን 👟👔

CAPACITY 👉7️⃣.5️⃣KG

✔️አነስተኛ የልብስ እና የጫማ  ማጠቢያ ማሽን  
✔️ለቲሸርት፣ ለጂንስ ፣ለሹራብ፣ለልጆች ዩኒፎርም፣ ለጫማ ወዘተ


✔️በተጨማሪም ጫማ ማጠቢያ ቡሩሽ ያለው 
✔️የራሱ የብረት መጭመቂያ ቅርጫት ያለው
✔️ ከቧንቧ ውሃ ቀጥታ መውሰድ የሚችል
☄️ አነስተኛ የኤሌክትሪክ ፍጆታ 240watt
✔️ከቦታ ቦታ በቀላሉ ተንቀሳቃሽ፡ በጠባብ ቦታ መቀመጥ የሚችልና የውሃ ማስወገጃ ቱቦ ያለው
✔️ውስጡ በአንድ ግዜ እስከ 50ሊትር ውሃ ስለሚይዝ ልብስ በደንብ አፅድቶ ያጥባል

        ዋጋ፦ ✅ 14,800 ብር

ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-01-15 16:06:11+00:00,
Sheger online-store,@Shageronlinestore,6194,"💥Anti slip kids shoes 

👉እማያንሸራትት

        ዋጋ:-550ብር

🏢 አድራሻ  👉ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


👍ለቡ ቅርንጫፍ📲0973611819



     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-01-15 13:21:48+00:00,
Sheger online-store,@Shageronlinestore,6193,,2025-01-15 13:21:48+00:00,photos\@Shageronlinestore_6193.jpg
Sheger online-store,@Shageronlinestore,6192,,2025-01-15 13:21:48+00:00,photos\@Shageronlinestore_6192.jpg
Sheger online-store,@Shageronlinestore,6191,,2025-01-15 13:21:48+00:00,photos\@Shageronlinestore_6191.jpg
Sheger online-store,@Shageronlinestore,6190,"💥Anti slip kids shoes 

👉እማያንሸራትት

        ዋጋ:-550ብር

🏢 አድራሻ  👉ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


👍ለቡ ቅርንጫፍ📲0973611819



     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-01-15 13:21:48+00:00,photos\@Shageronlinestore_6190.jpg
